"created,""screenName"",""text""";;;;
"2022-04-28 10:18:24,""amemeeya"",""@animefess_ Owi Tiga Periode (Orang Wibu Tidak Gabut, Periang, Ora Debat)""";;;;
"2022-04-28 10:04:56,""drh_slamet"",""Ya betul. Kalau lelah istirahat dulu di #PoskoMudikPKS ";;;;
;;;;
"Jangan paksakan tiga periode https://t.co/0TJdsTiGGD""";;;;
"2022-04-28 10:02:47,""AdolfElvis"",""RT @Herzaky__MP: Jangan Sampai Permufakatan Jahat Melanggengkan Kekuasaan 'Tiga Periode'.";;;;
;;;;
"https://t.co/URiOJBoX25""";;;;
"2022-04-28 09:47:03,""UAlla0879"",""@RagilSemar Biar jendral banyak bintang kalo sudah bgitu juga ga berdaya... ";;;;
"Eh ada jendral lain juga masih sibuk u… https://t.co/lSBnjqkWZN""";;;;
"2022-04-28 08:07:39,""Republi89218361"",""@alisyarief Lanjut tiga periode dah yuk rame2 ke MK gugat UU pemilu...gasss""";;;;
"2022-04-28 07:45:16,""4rsip"",""RT @sinoacc: @4rsip Jokowi Tiga Periode https://t.co/mZooXwSNDA""";;;;
"2022-04-28 07:43:58,""Sarmidi40308950"",""@nsutady @ChusnulCh__ Ini Goblog bin Pekok..pak Jokowi sudah bilang...patuh konstitusi dan nggak mau melanggar unda… https://t.co/McpwRCNE5P""";;;;
"2022-04-28 07:24:32,""sinoacc"",""@4rsip Jokowi Tiga Periode https://t.co/mZooXwSNDA""";;;;
"2022-04-28 06:52:51,""uauauauauaus"",""@sasasayatusa_ swacana masa jabatan presiden tiga periode""";;;;
"2022-04-28 06:50:00,""lutfiansyahi1"",""@sasasayatusa_ yang ingin tiga periode atau lebih itu hanya sebagian kecil, kalau dari total poluasi itu hanya sekitar 5 persen""";;;;
"2022-04-28 06:49:57,""PapuaWonderfull"",""@sasasayatusa_ Relawan Jokowi Mania Joman menyatakan menolak wacana tiga periode jabatan presiden.""";;;;
"2022-04-28 06:31:51,""maulidasri24"",""@sasasayatusa_ Saya mempunyai keyakinan bahwa presiden menolak penundaan Pemilu menolak wacana tiga periode""";;;;
"2022-04-28 06:31:49,""megaimawan"",""@sasasayatusa_ Saya mempunyai keyakinan bahwa presiden menolak penundaan Pemilu menolak wacana tiga periode""";;;;
"2022-04-28 06:08:10,""xray_ljj"",""RT @catchmeupid: Yep, karena di Korsel gabole perpanjangan masa jabatan apalagi tiga periode, minggu lalu, Korsel memilih presiden barunya…""";;;;
"2022-04-28 05:42:54,""DenadaRatnasari"",""@sasasayatusa_ hanya sebagian kecil dari masyarakat yang inginkan Presiden menjabat tiga periode atau lebih""";;;;
"2022-04-28 05:40:12,""alanesia"",""RT @korantempo: Pembentukan Partai Mahasiswa Indonesia (PMI) dianggap sebagai upaya menggembosi gerakan mahasiswa. Ketua Umum PMI justru me…""";;;;
"2022-04-28 05:36:29,""tempodotco"",""RT @korantempo: Pembentukan Partai Mahasiswa Indonesia (PMI) dianggap sebagai upaya menggembosi gerakan mahasiswa. Ketua Umum PMI justru me…""";;;;
"2022-04-28 05:36:07,""korantempo"",""Pembentukan Partai Mahasiswa Indonesia (PMI) dianggap sebagai upaya menggembosi gerakan mahasiswa. Ketua Umum PMI j… https://t.co/NEW6JdLByp""";;;;
"2022-04-28 05:05:33,""kokohandoko45"",""RT @MardaniAliSera: Semua isu yg sdh masuk ruang publik mesti dibuka. Jk benar berbahaya sekali cara kerja oligarki ini. Saya belum dengar…""";;;;
"2022-04-28 05:00:07,""Ayyaak2"",""RT @ismailfahmi: Sumber klaim data 110 juta netizen  bicara soal presiden 3 periode atau perpanjangan itu dari mana?<U+0001F914>";;;;
;;;;
"Kalau dari Lab45 sen…""";;;;
"2022-04-28 04:40:02,""cakraxusuma111"",""@reflection_8_ @alvinrio_1501 Abah kedah sehat kan wapres tiga periode""";;;;
"2022-04-28 03:58:37,""MNaibahu"",""@alisyarief Rakyat diuji disaat dimana pemerintah tidak ngerti apa2 yg slalu dibanggakan oligarki cukong sampai iss… https://t.co/Lmj0Zqlz24""";;;;
"2022-04-28 02:20:42,""Asfarin"",""@sig4rpenjalin @panca66 @msaid_didu Konstitusi saja bisa dirubah kata Mendagri, apalagi hanya untuk urusan ini ijin… https://t.co/JCaZixjOpx""";;;;
"2022-04-28 01:26:56,""Razzz___N7678"",""@mohmahfudmd Yah tul prof, harus di ganti dan gak ada kata untuk tiga periode lagi.""";;;;
"2022-04-28 00:43:11,""TomAsyari2010"",""@alisyarief Lah, lo didikte investor china diem bae, sampe suruh tiga periode nurut aja.. Hmmm. Malu ya pung, hasilnya di luar ekspektasi""";;;;
"2022-04-27 23:51:37,""AhmadNa80678561"",""PRESIDEN MULUT pantat ayam... Bercakap hanya ikut perasaan Dan sikripsi... Ini Jenis manusia pun mau disanjung samp… https://t.co/D4uBaek3xT""";;;;
"2022-04-27 22:19:12,""AAndimassuanna7"",""RT @MardaniAliSera: Semua isu yg sdh masuk ruang publik mesti dibuka. Jk benar berbahaya sekali cara kerja oligarki ini. Saya belum dengar…""";;;;
"2022-04-27 21:25:09,""FashionIin"",""@Ranisor @jokowi Tetap kawal";;;;
"Dilangan masih ada pihak yang hembus hembuskan tiga periode""";;;;
"2022-04-27 21:19:29,""ekojokosusilo79"",""@yusuf_dumdum @KPK_RI Haha.. Ndak akan viral masih ngeboomm kalau pakai tiga periode.. <U+0001F923><U+0001F923><U+0001F923>""";;;;
"2022-04-27 20:14:22,""fediarya"",""“Bakatnya dagang, background pendidikannya tax accounting finance, tapi kita tidak tahu takdir akan ke mana, yang p… https://t.co/2yOIkyMvEl""";;;;
"2022-04-27 20:03:45,""stream_wheel"",""RT @Herzaky__MP: Jangan Sampai Permufakatan Jahat Melanggengkan Kekuasaan 'Tiga Periode'.";;;;
;;;;
"https://t.co/URiOJBoX25""";;;;
"2022-04-27 17:59:11,""lyelaki"",""@intevl dua periode atau tiga periode?""";;;;
"2022-04-27 17:18:43,""djakarataloro"",""RT @Herzaky__MP: Jangan Sampai Permufakatan Jahat Melanggengkan Kekuasaan 'Tiga Periode'.";;;;
;;;;
"https://t.co/URiOJBoX25""";;;;
"2022-04-27 16:43:20,""SiAndi_"",""@OnlyFrens Karena udah saking hopeless tiga perioda gagal, mamak udah tabuh genderang perang. Kalau masih berani manuver tiga periode""";;;;
"2022-04-27 16:19:13,""cattonist"",""@deranaksara kemarin waktu ada desas-desusnya aja udah ada yang demo. kalau beneran tiga periode, takutnya balik ka… https://t.co/0RC29fd30I""";;;;
"2022-04-27 14:56:41,""Ikrar_opu"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/b1y8VQfSwc AHY… https://t.co/mbxUeIh88Y""";;;;
"2022-04-27 14:53:07,""Bella68710210"",""@erickbinjohan @ChusnulCh__ Elo yg sinting, kagak mau diberitahu berita yg benar, yg loe pakai selalu berita hoax.… https://t.co/xbJpezvwkF""";;;;
"2022-04-27 13:44:49,""AmirDemokrat"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/W7j2S8QzpT AHY… https://t.co/F5tDD8hVxL""";;;;
"2022-04-27 13:42:56,""dharma122"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/6SbPjmzaBR AHY… https://t.co/KxBW9xHeNg""";;;;
"2022-04-27 13:42:06,""AmirDemokrat"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/W7j2S8QzpT… https://t.co/WKo6Hl8bPl""";;;;
"2022-04-27 13:39:57,""dharma122"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/6SbPjmzaBR… https://t.co/h2hXFm4X2j""";;;;
"2022-04-27 13:38:03,""MuamarUtama"",""RT @Herzaky__MP: Jangan Sampai Permufakatan Jahat Melanggengkan Kekuasaan 'Tiga Periode'.";;;;
;;;;
"https://t.co/URiOJBoX25""";;;;
"2022-04-27 13:33:23,""deranaksara"",""@cattonist gila aja kalau beneran tiga periode. bisa bisa demo""";;;;
"2022-04-27 13:28:04,""tonysugiantono"",""@Ardiesuhardi1 gimane klo tiga periode kaya yng diminta sama si Ono noh !!! <U+0001F440><U+0001F644><U+0001F914><U+0001F926><U+0001F602><U+0001F923>""";;;;
"2022-04-27 12:59:24,""DemokratismeP"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/D236gdPY5X… https://t.co/FsJfWPThfr""";;;;
"2022-04-27 12:53:33,""CaeciliaCisca72"",""RT @Yuni_primadona: yang mengatakan tidak berminat tiga periode, tunduk pada konstitusi, dan meminta menteri tak boleh lagi bicara tentang…""";;;;
"2022-04-27 12:23:22,""xxntrm"",""RT @bps_statistics: Oiya Sahabat Data, teorinya PDB bisa dihitung dari tiga pendekatan yaitu lapangan usaha, pengeluaran, dan pendapatan.…""";;;;
"2022-04-27 12:07:48,""ajengcute16__"",""RT @Herzaky__MP: Jangan Sampai Permufakatan Jahat Melanggengkan Kekuasaan 'Tiga Periode'.";;;;
;;;;
"https://t.co/URiOJBoX25""";;;;
"2022-04-27 11:57:47,""DemokratKlaten"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/hthAoUC35b AHY… https://t.co/tFlRDZPUmR""";;;;
"2022-04-27 11:40:59,""kus7anto"",""RT @Herzaky__MP: Jangan Sampai Permufakatan Jahat Melanggengkan Kekuasaan 'Tiga Periode'.";;;;
;;;;
"https://t.co/URiOJBoX25""";;;;
"2022-04-27 11:30:01,""Herzaky__MP"",""Jangan Sampai Permufakatan Jahat Melanggengkan Kekuasaan 'Tiga Periode'.";;;;
;;;;
"https://t.co/URiOJBoX25""";;;;
"2022-04-27 11:29:41,""wongkayan_"",""DEWA 19 TIGA PERIODE https://t.co/XrBPcz9KNl""";;;;
"2022-04-27 11:18:26,""PatiBakomstra"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/XXbzj4rpAx AHY… https://t.co/roRYnSSgTD""";;;;
"2022-04-27 11:16:52,""BakomstraJ"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/RKaswr1cmU AHY… https://t.co/Xab9IGGwYn""";;;;
"2022-04-27 11:15:59,""PatiBakomstra"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/XXbzj4rpAx… https://t.co/6H6AthcBff""";;;;
"2022-04-27 11:13:55,""muchsin9"",""RT @SirianaGde: Hahaha...namanya kebijakan """"Pagi Tahu Sore Tempe"""". Padahal anak buah udah bela2in kasih alasan...jadi malu sendiri. Begini…""";;;;
"2022-04-27 11:11:41,""BakomstraJ"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/RKaswr1cmU… https://t.co/dGHYU4uH4g""";;;;
"2022-04-27 11:07:26,""LinCuang"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/FHEcOG5EZd AHY… https://t.co/TbqDVYFyoC""";;;;
"2022-04-27 11:05:39,""Darma2711"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/SCFnzZrbWC AHY… https://t.co/i2eBRLYjKi""";;;;
"2022-04-27 11:03:59,""NatizenRi"",""@PDemokrat Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/u0jfnJJ68A AHY… https://t.co/ntNjwtb37K""";;;;
"2022-04-27 11:01:19,""Darma2711"",""Safari Ramadhan di Pati, AHY: Wacana Tiga Periode Itu Mencederai Hati Rakyat https://t.co/SCFnzZrbWC… https://t.co/Dv16NSbJG5""";;;;
