text;vaderLabel
@SNMilitary Welcome Rusia to bali on G20, 🇮🇩  waiting  🇷🇺;Positive
@Levi_godman Why that would be the greatest troll? Rusia is member of G20. If western member wants to walk out then they free to do so.;Positive
"RT @Trystanto2: My take on why Russia AND Ukraine must be invited to the G20 (plus my rebuttal on the ""G20 is an economic forum, not a poli…";Neutral
RT @zismo64: @PalmerReport Isn't there a $1 million dollar bounty on Putin's head by a Russian Oligarch? I doubt Putin will expose himself…;Negative
RT @covie_93: Why the hell was putin invited to the G20???;Negative
RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…;Positive
RT @covie_93: Why the hell was putin invited to the G20???;Negative
"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…";Negative
RT @covie_93: Why the hell was putin invited to the G20???;Negative
RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…;Positive
"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…";Negative
"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…";Negative
RT @ForceOfGaia: @B52Malmet I just read that Putin has been invited to the G20 in Nov. This is infuriating! What happened to Putin being an…;Negative
RT @covie_93: Why the hell was putin invited to the G20???;Negative
RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…;Positive
RT @MusicReviewer7: @PalmerReport Could Putin possible to detained/arrested and sent to the Hague from the G20?;Neutral
RT @kdnerak33: If Putin actually attends this year’s G20 summit, he should immediately be arrested as a war criminal.;Negative
RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…;Positive
RT @covie_93: Why the hell was putin invited to the G20???;Negative
RT @DoctorHenryCT: Let Putin show up at the G20. Maybe someone will offer him a Navalny cocktail.;Neutral
"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…";Negative
RT @covie_93: Why the hell was putin invited to the G20???;Negative
RT @covie_93: Why the hell was putin invited to the G20???;Negative
RT @Out5p0ken: Putin received an invite to the G20 Summit, and accepts. Wtf.;Negative
"RT @PalmerReport: Now if the U.S. or the G20 determines that it’s not *safe* to let Putin attend, that’s 100% different.

But “shouldn’t be…";Negative
RT @PalmerReport: If Putin really wants to attend the G20, let him. He’ll gain nothing from it, and there are numerous ways it could go poo…;Positive
RT @NataliusPigai2: Indonesia is becoming an increasingly uncredible country in the eyes of the world because @jokowi ignores the values ​​…;Positive
RT @AaronParnas: Vladimir Putin should not be allowed at this year's G20 summit.;Neutral
RT @ForceOfGaia: @B52Malmet I just read that Putin has been invited to the G20 in Nov. This is infuriating! What happened to Putin being an…;Negative
RT @AaronParnas: Vladimir Putin should not be allowed at this year's G20 summit.;Neutral
"RT @KyivIndependent: ⚡️US considers approach to G20 summit after news Putin will attend. 

While the U.S. has condemned Russia’s participat…";Negative
RT @CromwellStuff: “Vladimir Putin is attending the G20 summit”, that’s an msm statement! Wind back to 1940 and imagine a meeting of world…;Neutral
RT @AaronParnas: Vladimir Putin should not be allowed at this year's G20 summit.;Neutral
"RT @PalmerReport: Now if the U.S. or the G20 determines that it’s not *safe* to let Putin attend, that’s 100% different.

But “shouldn’t be…";Negative
